id,name,mimeType,size,modifiedTime,path,parent,type,subtype,title,extension
1wT7gIQZwrMWN7IRK1qIfWH0cgu8pZX9V,HAL Letter.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,20895,2025-11-19T18:55:51.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/CruiseMaine,CruiseMaine,application,vnd.openxmlformats-officedocument.wordprocessingml.document,HAL Letter,docx
1DTlqhHNiFq7KLVPSi23Rs1BtoixFN_XF,Comments Matrix - Open House for Bar Harbor Ferry Terminal.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,34275,2025-11-19T18:55:47.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/CruiseMaine,CruiseMaine,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Comments Matrix - Open House for Bar Harbor Ferry Terminal,docx
1tU17Wsod6sp63uLVrMFqbmd-IN3aVcRL,CM_Duties.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,22978,2025-11-19T18:55:46.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/CruiseMaine,CruiseMaine,application,vnd.openxmlformats-officedocument.wordprocessingml.document,CM_Duties,docx
1cAh_zhqB6p9egWe0jwacgtFUQQOVQWe6,IMT West Proposal Scoring Sheet.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,222234,2025-11-19T18:55:43.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Cold Storage,Cold Storage,application,vnd.openxmlformats-officedocument.wordprocessingml.document,IMT West Proposal Scoring Sheet,docx
1NEzCyFMpVHV2LpwEy5T6R02TbBjKc8Tp,Review Matrix.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,224651,2025-11-19T18:55:43.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Cold Storage,Cold Storage,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Review Matrix,docx
1sjPXUlhVixIvUF2vBi3mMIHb-jRKRY7m,RFQ Questions.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,31741,2025-11-19T18:55:43.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Cold Storage,Cold Storage,application,vnd.openxmlformats-officedocument.wordprocessingml.document,RFQ Questions,docx
1UbgKgTNPC6Q2gJJEkgMoC1-myDeHMdHd,080315 Cold Storage RFP Questions and Responses.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,48761,2025-11-19T18:55:43.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Cold Storage,Cold Storage,application,vnd.openxmlformats-officedocument.wordprocessingml.document,080315 Cold Storage RFP Questions and Responses,docx
1ddzt8Onf2QNXhIfx8Qi3NjnTj2pp2_zQ,Ferry Terminal Letter.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,48204,2025-11-19T18:55:32.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Bar Harbor,Bar Harbor,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Ferry Terminal Letter,docx
1ghlO44ojryZxiEwiQDPqhtoD-9VwaA68,Draft Term Sheet Rev 6 7 12.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,28412,2025-11-19T18:55:31.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Bar Harbor,Bar Harbor,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Draft Term Sheet Rev 6 7 12,docx
16DWghz1NZRywI3HtB27PngEr3_C1CTWD,Bar Harbor Terminal.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,6095908,2025-11-19T18:55:29.000Z,MPA/Cruise Maine Files/CruiseMaineUSA Files/Files/Bar Harbor,Bar Harbor,application,vnd.openxmlformats-officedocument.wordprocessingml.document,Bar Harbor Terminal,docx
